target,horizon,fold,rows,current_c0_mape,best_single_branch,best_single_mape,full_oracle_mape,split_half_oracle_mape,full_oracle_weights
generator_1,45,dev_04,192,0.05718776861248296,persistence_pred,0.058246204829175786,0.05711728022230141,0.057739771556707946,"[0.7763876326344116, 9.692264091962418e-22, 2.125668849517377e-21, 0.12864593040521033, 0.09496643696037813]"
generator_1,45,dev_05,192,0.038148676187276416,persistence_pred,0.038109273043850034,0.03784545156842623,0.03958122587392523,"[0.8746306549496048, 3.1100985213550187e-18, 0.10723995485128848, 1.4315509517990053e-19, 0.0181293901991067]"
generator_1,45,dev_06,192,0.028106651389265908,persistence_pred,0.028668315215938444,0.028009092176780274,0.028142090471174552,"[0.8271346950387815, 2.445955121914597e-22, 7.403750061661467e-18, 1.038933295517712e-17, 0.17286530496121855]"
generator_1,45,dev_07,192,0.05286720936234548,persistence_pred,0.054066386828685094,0.05188573255122813,0.053040607150606454,"[0.34021372669597844, 0.277229428666418, 0.05751691351623586, 0.32503993112136775, 9.374907537614106e-19]"
generator_1,45,dev_08,192,0.07116728589445671,gas_ridge_pred,0.06949216850867224,0.06935089300774665,0.07017436471202641,"[0.22360527437887695, 2.4215451888248514e-18, 3.699935206441563e-11, 0.7763947255841235, 1.3579174319585262e-17]"
generator_1,45,dev_09,192,0.054313625914566205,persistence_pred,0.05524057791899472,0.05419206412369457,0.05504490930067704,"[0.7022800780145347, 9.570075650550323e-19, 3.665947339161609e-18, 0.10351298489778424, 0.19420693708768094]"
generator_1,45,dev_10,192,0.0527258652314368,persistence_pred,0.052547123524338324,0.05193891167948759,0.052714621010353326,"[0.7252771752063945, 0.051994540500242395, 0.04542051796716135, 5.923442527472533e-19, 0.17730776632620182]"
generator_1,45,dev_11,192,0.06992201486318378,gas_ridge_pred,0.06976390765081436,0.06894343325887466,0.07051600901412193,"[0.16624797353854823, 3.235052763702011e-19, 9.160416680254735e-18, 0.5358826513416853, 0.29786937511976636]"
generator_1,45,dev_12,192,0.082507035933392,persistence_pred,0.08483033992397326,0.08179648266787624,0.08211659088241258,"[0.6301915304770621, 2.811235349873217e-17, 0.07017325967181051, 2.2406531334407645e-17, 0.2996352098511274]"
generator_1,45,dev_13,192,0.0374279018726964,persistence_pred,0.03688702073361339,0.036751585440295075,0.03691981981261753,"[0.9139522890757689, 2.5304425408506756e-18, 8.254831367850138e-19, 8.547493864382679e-17, 0.08604771092423118]"
generator_1,45,dev_14,192,0.03159678428465026,persistence_pred,0.032442484994935794,0.031572118554920224,0.03271514055742992,"[0.5752652632459547, 1.4970349803404093e-17, 0.018054033697880337, 0.296270581115769, 0.110410121940396]"
generator_1,45,dev_15,192,0.043652393821057255,persistence_pred,0.04318388746087808,0.04316289430427201,0.043912515995807956,"[0.8824760044340988, 3.0057704284340656e-17, 4.921640568180968e-18, 1.9319985581091555e-16, 0.11752399556590126]"
generator_1,45,dev_16,192,0.03727771027703958,recent_ridge_pred,0.03695783579832673,0.036042872040058814,0.03634546407404934,"[0.2226240458530231, 2.5634174519196243e-18, 0.4981965210855211, 0.16168921861723493, 0.11749021444422096]"
generator_1,45,dev_17,192,0.061136760014066156,recent_ridge_pred,0.05577377592990774,0.05557128508909207,0.055742598944450404,"[1.7804739355468696e-17, 7.151908746936219e-17, 0.5537857008755127, 8.157522790916308e-17, 0.4462142991244876]"
generator_1,45,dev_18,192,0.0393649256118988,ridge_pred,0.03762946696093028,0.03749204981043704,0.03806823898943477,"[1.070154036664436e-16, 0.7006624664974964, 2.6503176144367264e-17, 0.2993375335025055, 3.759392317627037e-16]"
generator_1,45,dev_19,192,0.04465042030311938,gas_ridge_pred,0.045026937843208575,0.04430213854599218,0.04467227258888379,"[0.51593016169875, 6.391668771474793e-21, 0.0, 0.19164531510726443, 0.29242452319398565]"
generator_1,60,dev_01,192,0.04900046352591331,persistence_pred,0.04928144174612053,0.046717574746835154,0.05199395200387635,"[0.6498574812474103, 1.7518214044051083e-17, 0.22027218769442336, 2.0559183887048454e-17, 0.12987033105816634]"
generator_1,60,dev_02,192,0.05873169021739293,persistence_pred,0.05947594723867675,0.05809704233111285,0.05867369250003395,"[0.6777741891491106, 0.25830258577433546, 0.06392322507655397, 1.1841756693967109e-17, 1.656228183640359e-17]"
generator_1,60,dev_03,192,0.07747709298606406,gas_ridge_pred,0.07460215594631346,0.07322397808213221,0.07584635326034654,"[0.06239688520795945, 3.533647846461356e-16, 0.0, 0.5301337747778339, 0.40746934001420637]"
generator_1,60,dev_04,192,0.06925264798859294,persistence_pred,0.07048305634749508,0.06883045799577224,0.06989921422003573,"[0.7239928047414156, 3.264768423679739e-21, 0.0167128188441469, 0.20992047461356772, 0.04937390180086985]"
generator_1,60,dev_05,192,0.043952898209199426,persistence_pred,0.04445467730210811,0.043377095474426024,0.045881886303723786,"[0.7752548029567058, 2.0027808554144073e-18, 0.14303557920536886, 1.2330919615921384e-17, 0.08170961783792546]"
generator_1,60,dev_06,192,0.03313338375088085,persistence_pred,0.03341630972077498,0.032944056975171394,0.03358795647270455,"[0.8613892553464102, 9.8304366752624e-20, 4.395435230519452e-18, 0.10714920989708515, 0.0314615347565046]"
generator_1,60,dev_07,192,0.06362209209839698,persistence_pred,0.06496419324561757,0.06277916515565662,0.0631198390699493,"[0.5670494161862966, 0.042228602338788127, 0.055706427174211766, 0.24393423416335938, 0.0910813201373443]"
generator_1,60,dev_08,192,0.08591472781512123,gas_ridge_pred,0.0826057636786454,0.0824798456086454,0.08309607992522079,"[0.0, 0.08958163269118319, 3.2577680708363678e-21, 0.9104183673088169, 6.355474039456985e-17]"
generator_1,60,dev_09,192,0.06212930742961962,persistence_pred,0.06267387445422237,0.06161629863129162,0.06179913910773185,"[0.8191247223428271, 0.07268471550653631, 8.277542319015842e-20, 4.1853997583779016e-19, 0.10819056215063652]"
generator_1,60,dev_10,192,0.060163741455783216,persistence_pred,0.05927319090905214,0.05909843012382249,0.060112310867014025,"[0.8719800137838254, 0.12801998621617458, 6.995229651364268e-18, 1.919284640143219e-16, 7.912798371177792e-20]"
generator_1,60,dev_11,192,0.08265412706032593,gas_ridge_pred,0.08045143458321968,0.07949285222399805,0.08162569816341182,"[0.022538152292662605, 1.0727573392030406e-16, 0.010693657566045464, 0.5806641216978369, 0.38610406844345496]"
generator_1,60,dev_12,192,0.09612479858822258,gas_ridge_pred,0.0994108786812689,0.09499704903458729,0.0958709523495951,"[0.593026724420533, 0.158433042322271, 0.11835246968641347, 3.9161105902445914e-17, 0.13018776357078266]"
generator_1,60,dev_13,192,0.04264076472541617,persistence_pred,0.041880496258783706,0.0416426755335057,0.041644780385050886,"[0.9254511208530867, 0.0, 0.0, 2.1298426263550935e-17, 0.07454887914691341]"
generator_1,60,dev_14,192,0.03776229732673348,persistence_pred,0.038600764726145514,0.03772395148074275,0.041284552383552005,"[0.7585510673540531, 1.5023213564543355e-18, 0.050270283733001936, 0.015665662688253087, 0.1755129862246919]"
generator_1,60,dev_15,192,0.051874358668698946,persistence_pred,0.05067058509866993,0.050667529754785966,0.0518078741866122,"[0.9459797919976843, 5.240188356934733e-19, 7.945601044989722e-21, 3.962895867677962e-17, 0.054020208002315606]"
generator_1,60,dev_16,192,0.042990689322932076,recent_ridge_pred,0.04307019001286603,0.04188710734357474,0.04353563938853338,"[0.2430948816010473, 8.274979906889744e-20, 0.36410930556355997, 0.2752816736261591, 0.11751413920923366]"
generator_1,60,dev_17,192,0.07552494012622739,recent_ridge_pred,0.06676661875720795,0.06650863919065657,0.06652861651973556,"[2.8905782885930845e-17, 8.132862813321997e-22, 0.6562628128270067, 0.0, 0.3437371871730001]"
generator_1,60,dev_18,192,0.04789187000334346,lgb_residual_pred,0.04546831838790145,0.04546435952959115,0.04663910151917786,"[2.957865151048286e-17, 4.624535066532116e-17, 1.3018113827552824e-16, 0.21203055021405323, 0.7879694497859466]"
generator_1,60,dev_19,192,0.05337978153712885,lgb_residual_pred,0.05313561078750814,0.0522257037889036,0.05323511481222992,"[0.42242027511979424, 3.527467008990103e-16, 4.364668941292555e-20, 0.023774849133698723, 0.5538048757465067]"
generator_1,75,dev_01,192,0.053139743582144565,persistence_pred,0.05321908839374842,0.04989979260123345,0.06198935615813095,"[0.62033100730814, 2.9978920054792862e-18, 0.13429052023770324, 3.520811656037554e-17, 0.24537847245415692]"
generator_1,75,dev_02,192,0.0713550617209619,persistence_pred,0.0727242375746122,0.07001577959971524,0.07234690205089857,"[0.5531868608430615, 0.13673430536060194, 0.09226365097011857, 1.2481988404698802e-17, 0.21781518282621787]"
generator_1,75,dev_03,192,0.08666618539484516,gas_ridge_pred,0.08489496093769737,0.08314162774423345,0.08738486333587785,"[0.29334851163707326, 0.2777498327015465, 1.5179200481482934e-18, 0.4289016556613802, 1.2572384145094836e-16]"
generator_1,75,dev_04,192,0.0807835450619277,persistence_pred,0.08142336049862184,0.08024964810262354,0.08113984807409906,"[0.7906548600756401, 1.4961330131738995e-18, 0.010176760930274758, 0.19916837899408507, 2.7642066986371005e-18]"
generator_1,75,dev_05,192,0.048840514595900046,persistence_pred,0.047552682068521,0.04695109649371271,0.04936808028826384,"[0.8119241150067961, 8.602479695203383e-19, 0.18807588499320405, 2.0857322651965314e-17, 9.068945923379568e-19]"
generator_1,75,dev_06,192,0.0362578240844187,persistence_pred,0.036715677946150764,0.03578256311480086,0.03654551073776708,"[0.8292306505169897, 3.2857326767206406e-19, 0.0, 0.13289302739297218, 0.03787632209003808]"
generator_1,75,dev_07,192,0.07584270052718173,ridge_pred,0.07703645679149129,0.07403770895218299,0.07492060626139978,"[0.3912715796182958, 0.2731504207533264, 0.07096682190718742, 0.2646111777211904, 9.151464898551916e-18]"
generator_1,75,dev_08,192,0.09712271410034849,gas_ridge_pred,0.09140771156071976,0.09140771156071976,0.09224303680047825,"[2.7755575615628914e-17, 1.5189160099002143e-17, 0.0, 0.9999999999999999, 6.605375656512326e-17]"
generator_1,75,dev_09,192,0.06827822062201226,persistence_pred,0.06999399645721087,0.06774847255962448,0.06829994211510419,"[0.7265585301852344, 0.04974329671425621, 6.229212708756493e-18, 1.747515287907669e-17, 0.22369817310051182]"
generator_1,75,dev_10,192,0.06713777114976986,persistence_pred,0.06716897373178321,0.06622215266245905,0.06785166627386706,"[0.7002006195043262, 0.051270350846001324, 0.032906565982230795, 5.5022269434033506e-18, 0.21562246366744173]"
generator_1,75,dev_11,192,0.0922875122574706,lgb_residual_pred,0.08980643984113192,0.08903501306830626,0.09069617560251235,"[2.4147212493564585e-17, 2.5924965160355152e-17, 0.14958138024705409, 0.47854616778225434, 0.37187245197069185]"
generator_1,75,dev_12,192,0.10802479897679895,gas_ridge_pred,0.11133914850042735,0.10693643922586493,0.11239826377595626,"[0.6321681626461335, 0.0, 1.3385876702308234e-18, 3.343349109081651e-17, 0.3678318373538665]"
generator_1,75,dev_13,192,0.04703529747054911,persistence_pred,0.04617687395414438,0.046075452946770706,0.046587133027865206,"[0.9671446089622525, 4.902359206404684e-19, 0.032855391037747435, 5.819981759030543e-22, 2.5214024566532028e-23]"
generator_1,75,dev_14,192,0.04302911627809574,persistence_pred,0.04390237619052132,0.04294744912982784,0.04664233806022747,"[0.672146534881707, 0.0, 0.1268917173145932, 0.20096174780369983, 1.0784201953100665e-17]"
generator_1,75,dev_15,192,0.05971292661701532,persistence_pred,0.05790908116736667,0.05790552555259961,0.05820958590757411,"[0.9890971563383183, 3.0394256265325674e-18, 3.1588158188027223e-17, 2.6625706869631478e-18, 0.010902843661681587]"
generator_1,75,dev_16,192,0.04941535691274503,gas_ridge_pred,0.049471828322921324,0.047607460011100604,0.058077024197618045,"[1.6223480558482787e-17, 3.409938215447583e-17, 0.5287851950690085, 0.23799128242784462, 0.23322352250314687]"
generator_1,75,dev_17,192,0.08428326036722117,recent_ridge_pred,0.07260473580323201,0.0722478645386873,0.07252251553078705,"[7.323309287806983e-17, 2.8570677329515906e-21, 0.5476184452157725, 1.2769409385429514e-17, 0.45238155478422776]"
generator_1,75,dev_18,192,0.051767816193185635,lgb_residual_pred,0.04836792801630759,0.04818912115222048,0.05030096513165035,"[1.5836651470435327e-21, 2.6960571971345046e-16, 3.599462424185982e-16, 0.1540648089897966, 0.8459351910102041]"
generator_1,75,dev_19,192,0.05947715551783955,lgb_residual_pred,0.0590534114492817,0.057511560227715364,0.05877730420339674,"[0.3159360613254226, 3.837696890348591e-18, 4.412755881095014e-19, 0.0024145379917832398, 0.6816494006827942]"
generator_1,90,dev_01,192,0.05914376475738192,persistence_pred,0.059299615220926576,0.05574575730721604,0.06918663979036731,"[0.5952109221861517, 7.070944240024289e-18, 0.18007593301099012, 1.0336931169860029e-16, 0.22471314480285803]"
generator_1,90,dev_02,192,0.08341099426500738,ridge_pred,0.08395758078273585,0.08113857754780564,0.0848094536007919,"[0.5462472384044418, 1.5818548862110778e-16, 0.17580712450413635, 3.5370399116619745e-17, 0.27794563709142195]"
generator_1,90,dev_03,192,0.09793035379399388,gas_ridge_pred,0.09628301011285821,0.09424762489317952,0.101299030744388,"[0.08620593007048641, 0.3322342474516482, 4.922880909048779e-18, 0.5815597988589898, 2.361887564683078e-08]"
generator_1,90,dev_04,192,0.09199024104656228,persistence_pred,0.09264606831986295,0.09140297905473331,0.09343184431353219,"[0.8528948096644425, 1.7422086171007676e-23, 0.009217251375237488, 2.4664619013475706e-17, 0.13788793896032003]"
generator_1,90,dev_05,192,0.05514464615256154,persistence_pred,0.052949299309566676,0.052720155272570866,0.0599570485064656,"[0.8824679662122048, 0.015795464321516132, 0.10173656946627906, 2.8000608819089754e-18, 1.4696597192153905e-19]"
